                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.87661,                0.78256,                0.97152,                0.76573,                0.47472,                0.55692,                0.29982,                 1.9213,                 1.4759,                 1.6248,              0.0001585,              0.0001585,              0.0001585
                     85,                0.94086,                0.78571,                 1.0211,                0.68432,                0.46232,                0.52958,                0.28142,                 1.9717,                 1.5368,                 1.6683,             0.00015968,             0.00015968,             0.00015968
                     86,                0.94594,                0.79317,                0.97946,                0.67921,                 0.4921,                0.54896,                0.27723,                 1.9893,                 1.5161,                 1.7036,             0.00016084,             0.00016084,             0.00016084
                     87,                0.91118,                0.80083,                0.99882,                0.66233,                0.45807,                0.51619,                0.27713,                 1.9568,                 1.4762,                 1.7148,             0.00016199,             0.00016199,             0.00016199
                     88,                0.91432,                0.72638,                0.98846,                0.69087,                0.43835,                0.51971,                0.28022,                 1.9469,                 1.4434,                  1.734,             0.00016312,             0.00016312,             0.00016312
                     89,                0.92228,                0.76277,                0.96271,                0.74253,                0.44805,                0.53882,                0.28733,                 1.9933,                  1.449,                 1.7595,             0.00016423,             0.00016423,             0.00016423
                     90,                0.88814,                0.73836,                0.97387,                0.74542,                0.43764,                0.54211,                0.28792,                  1.981,                 1.4162,                 1.7424,             0.00016532,             0.00016532,             0.00016532
                     91,                0.90943,                0.73863,                0.97132,                0.72438,                0.43059,                0.53905,                0.28141,                 1.9772,                 1.3948,                 1.7337,              0.0001664,              0.0001664,              0.0001664
                     92,                0.87485,                0.69975,                0.94629,                0.71351,                0.43101,                0.53952,                0.28454,                  1.944,                 1.3785,                 1.7095,             0.00016746,             0.00016746,             0.00016746
                     93,                  0.904,                0.75756,                 1.0009,                0.69063,                0.42726,                0.53131,                0.28015,                 1.9576,                 1.3871,                 1.7009,              0.0001685,              0.0001685,              0.0001685
                     94,                0.88583,                0.72981,                0.96154,                0.65718,                0.45636,                0.54427,                0.28074,                 1.9814,                 1.3901,                 1.7001,             0.00016953,             0.00016953,             0.00016953
                     95,                0.92171,                0.76216,                0.96926,                0.69541,                0.46367,                0.55562,                0.28173,                 1.9935,                 1.3675,                 1.7226,             0.00017053,             0.00017053,             0.00017053
                     96,                0.91114,                0.76068,                0.94044,                0.77808,                0.47667,                0.58711,                0.28504,                  1.985,                 1.3524,                  1.721,             0.00017152,             0.00017152,             0.00017152
                     97,                 0.8621,                0.69369,                0.94692,                0.70992,                0.48829,                0.58078,                0.28905,                 1.9522,                 1.3174,                 1.7134,             0.00017249,             0.00017249,             0.00017249
                     98,                0.88193,                 0.6963,                0.94152,                0.67269,                0.47834,                0.56963,                 0.2966,                 1.9539,                 1.3131,                 1.7372,             0.00017345,             0.00017345,             0.00017345
                     99,                0.85284,                0.69279,                0.94739,                0.70259,                0.51618,                0.58353,                0.29165,                 1.9538,                 1.3056,                 1.7652,             0.00017439,             0.00017439,             0.00017439
                    100,                 0.8396,                0.70562,                0.95528,                0.70379,                0.49473,                0.57603,                0.29554,                 1.9498,                 1.3045,                  1.757,             0.00017531,             0.00017531,             0.00017531
                    101,                0.82649,                0.65137,                0.95227,                0.72789,                0.51353,                0.60324,                0.30845,                 1.9451,                 1.3206,                 1.7185,             0.00017621,             0.00017621,             0.00017621
                    102,                0.86254,                0.71982,                0.97183,                0.72198,                0.54451,                0.62842,                0.31087,                 1.9507,                 1.3405,                 1.7013,             0.00017621,             0.00017621,             0.00017621
                    103,                0.81511,                0.65848,                0.93873,                0.80276,                 0.5426,                0.66783,                0.31266,                 1.9464,                 1.3257,                 1.7151,             0.00017534,             0.00017534,             0.00017534
                    104,                0.83093,                0.63993,                 0.9457,                 0.7692,                0.49432,                0.64236,                0.31726,                 1.9395,                  1.306,                 1.7299,             0.00017447,             0.00017447,             0.00017447
                    105,                0.78692,                0.62531,                0.94071,                 0.7914,                0.48526,                0.63381,                0.31778,                 1.9154,                 1.2963,                 1.7072,             0.00017361,             0.00017361,             0.00017361
                    106,                0.77537,                 0.6328,                0.94108,                0.75808,                0.49898,                0.62326,                0.31735,                 1.9357,                 1.2851,                 1.7336,             0.00017274,             0.00017274,             0.00017274
                    107,                 0.8375,                0.66364,                 0.9254,                0.75568,                0.52756,                0.64148,                 0.3354,                  1.921,                 1.2584,                 1.7125,             0.00017187,             0.00017187,             0.00017187
                    108,                0.82284,                0.66942,                0.95308,                0.76436,                0.53532,                0.65979,                 0.3425,                 1.8945,                 1.2494,                  1.685,               0.000171,               0.000171,               0.000171
                    109,                0.81015,                0.64204,                0.95289,                0.76214,                0.54696,                0.65329,                0.33735,                 1.9063,                 1.2591,                  1.706,             0.00017013,             0.00017013,             0.00017013
                    110,                0.82028,                0.62718,                 0.9326,                0.75934,                0.53478,                0.63093,                0.33211,                 1.8965,                 1.2728,                 1.7085,             0.00016927,             0.00016927,             0.00016927
                    111,                0.82359,                0.65625,                0.94973,                0.77629,                0.55162,                0.64427,                0.33204,                 1.8867,                 1.2368,                 1.7017,              0.0001684,              0.0001684,              0.0001684
                    112,                0.79003,                0.62061,                0.91808,                0.76753,                0.59064,                0.66555,                0.33782,                 1.8684,                 1.2307,                 1.6732,             0.00016753,             0.00016753,             0.00016753
                    113,                0.82284,                0.63512,                0.95744,                0.79679,                0.56686,                0.66163,                0.34188,                 1.8745,                 1.2259,                 1.6945,             0.00016666,             0.00016666,             0.00016666
                    114,                0.81072,                0.61898,                0.92856,                0.77404,                0.55802,                0.65426,                0.33719,                 1.8964,                 1.2251,                  1.725,              0.0001658,              0.0001658,              0.0001658
                    115,                0.80116,                0.62988,                0.92952,                0.75362,                0.55602,                0.64605,                0.32404,                 1.9369,                  1.249,                 1.7365,             0.00016493,             0.00016493,             0.00016493
                    116,                0.79722,                0.61945,                0.93055,                0.77594,                 0.5707,                0.65811,                0.33108,                 1.9181,                 1.2459,                 1.7065,             0.00016406,             0.00016406,             0.00016406
                    117,                0.78027,                0.62837,                0.95086,                0.77248,                0.62109,                0.69405,                 0.3478,                 1.8977,                 1.2515,                 1.6604,             0.00016319,             0.00016319,             0.00016319
                    118,                0.74501,                0.60681,                 0.9148,                0.78609,                0.65956,                0.71822,                0.36838,                 1.8806,                 1.2581,                 1.6306,             0.00016232,             0.00016232,             0.00016232
                    119,                0.81996,                0.61918,                0.93005,                0.75642,                0.65814,                0.70869,                0.35288,                 1.8858,                 1.2618,                 1.6461,             0.00016146,             0.00016146,             0.00016146
                    120,                0.79678,                 0.6047,                 0.9436,                0.76257,                0.62629,                0.67465,                0.33998,                 1.9003,                 1.2544,                 1.7068,             0.00016059,             0.00016059,             0.00016059
                    121,                0.77633,                0.59766,                0.92667,                0.76253,                0.61026,                 0.6519,                0.33301,                 1.9278,                 1.2692,                 1.7753,             0.00015972,             0.00015972,             0.00015972
                    122,                0.72753,                0.56003,                0.90987,                0.69833,                0.58967,                0.61766,                 0.3217,                 1.9388,                 1.2866,                 1.8264,             0.00015885,             0.00015885,             0.00015885
                    123,                0.76167,                0.60941,                0.94092,                0.69754,                0.57966,                0.61128,                0.32233,                 1.9265,                 1.3098,                 1.8205,             0.00015798,             0.00015798,             0.00015798
                    124,                0.75328,                0.57205,                0.92681,                0.69174,                0.55108,                0.60587,                0.32042,                 1.9381,                 1.3285,                 1.8185,             0.00015712,             0.00015712,             0.00015712
                    125,                0.76308,                0.57986,                0.91375,                0.72413,                0.51022,                0.61377,                  0.311,                 1.9413,                 1.3454,                 1.7974,             0.00015625,             0.00015625,             0.00015625
                    126,                0.69992,                0.55694,                0.90369,                0.75787,                0.46941,                0.59154,                0.30375,                 1.9521,                   1.37,                 1.8152,             0.00015538,             0.00015538,             0.00015538
                    127,                0.68596,                0.54595,                0.91151,                0.70083,                0.49061,                0.58499,                 0.3055,                 1.9692,                 1.3845,                  1.844,             0.00015451,             0.00015451,             0.00015451
                    128,                0.75645,                0.58017,                0.94873,                0.67692,                0.46735,                0.55309,                0.28595,                 2.0085,                 1.4029,                  1.888,             0.00015364,             0.00015364,             0.00015364
                    129,                0.72729,                0.57015,                0.92052,                0.70644,                0.46754,                0.56209,                 0.2908,                 1.9974,                 1.4097,                 1.8772,             0.00015278,             0.00015278,             0.00015278
                    130,                0.75121,                0.56449,                0.91317,                0.75264,                0.48349,                0.59355,                0.30271,                 1.9377,                    1.4,                 1.8108,             0.00015191,             0.00015191,             0.00015191
                    131,                0.75934,                0.58243,                0.92222,                0.75144,                0.50786,                0.61028,                0.31171,                 1.9233,                 1.3796,                 1.7924,             0.00015104,             0.00015104,             0.00015104
                    132,                0.75969,                0.58788,                0.92728,                0.74087,                0.51341,                0.61718,                0.31136,                 1.9511,                 1.3643,                 1.8381,             0.00015017,             0.00015017,             0.00015017
                    133,                0.69034,                0.53414,                0.89748,                0.71214,                0.51228,                0.61052,                0.30512,                 1.9851,                 1.3641,                 1.8972,             0.00014931,             0.00014931,             0.00014931
                    134,                0.72493,                  0.535,                0.90052,                0.69077,                0.54174,                0.61303,                0.31305,                 1.9621,                 1.3615,                 1.8927,             0.00014844,             0.00014844,             0.00014844
                    135,                0.68587,                0.53387,                0.90919,                0.67385,                0.54942,                0.60323,                 0.3103,                 1.9435,                 1.3749,                 1.8782,             0.00014757,             0.00014757,             0.00014757
                    136,                0.66748,                0.53381,                0.90128,                0.68319,                0.56503,                0.61083,                0.31123,                 1.9413,                 1.3641,                 1.8535,              0.0001467,              0.0001467,              0.0001467
                    137,                0.70238,                0.53846,                0.91784,                0.65562,                0.53419,                0.60691,                0.31063,                  1.962,                 1.3732,                 1.8655,             0.00014583,             0.00014583,             0.00014583
                    138,                0.68961,                 0.5355,                0.89446,                0.76402,                0.48525,                0.62065,                0.30684,                  1.982,                 1.3871,                 1.8771,             0.00014497,             0.00014497,             0.00014497
                    139,                0.69688,                0.53151,                0.89619,                0.64072,                0.58431,                0.62994,                0.31085,                 1.9758,                 1.3866,                  1.875,              0.0001441,              0.0001441,              0.0001441
                    140,                0.68821,                0.53243,                0.90711,                0.62364,                0.55741,                0.59515,                0.30188,                 1.9429,                 1.3903,                  1.846,             0.00014323,             0.00014323,             0.00014323
